customer,st_x,gender_x,education_x,customer_lifetime_value_x,income_x,monthly_premium_auto_x,number_of_open_complaints_x,policy_type_x,vehicle_class_x,total_claim_amount_x,st_y,gender_y,education_y,customer_lifetime_value_y,income_y,monthly_premium_auto_y,number_of_open_complaints_y,total_claim_amount_y,policy_type_y,vehicle_class_y,state,customer_lifetime_value,education,gender,income,monthly_premium_auto,number_of_open_complaints,policy_type,total_claim_amount,vehicle_class
ad18174,,,,,,,,,,,,,,,,,,,,,california,4837.926404,high school or below,f,0.0,65.0,0.0,personal auto,468.0,four-door car
ad28349,,,,,,,,,,,,,,,,,,,,,arizona,4637.544647,high school or below,m,0.0,68.0,0.0,personal auto,352.130674,four-door car
ad28535,,,,,,,,,,,,,,,,,,,,,california,3554.845264,master,f,58557.0,88.0,0.0,personal auto,55.510526,four-door car
ad33653,,,,,,,,,,,,,,,,,,,,,oregon,3324.551776,high school or below,m,0.0,92.0,0.0,personal auto,441.6,two-door car
ad33971,,,,,,,,,,,,,,,,,,,,,california,12564.06775,doctor,m,0.0,68.0,0.0,personal auto,326.4,four-door car
ad38685,,,,,,,,,,,,,,,,,,,,,california,8658.863813,college,m,62464.0,109.0,0.0,personal auto,400.181882,sports car
ad56037,,,,,,,,,,,,,,,,,,,,,arizona,5160.251878,high school or below,m,87050.0,129.0,0.0,personal auto,619.2,suv
ad63766,,,,,,,,,,,,,,,,,,,,,oregon,2839.013244,bachelor,m,0.0,81.0,0.0,personal auto,388.8,two-door car
ad71478,,,,,,,,,,,,,,,,,,,,,arizona,3430.316936,high school or below,m,54339.0,86.0,0.0,personal auto,10.478305,four-door car
ad89594,,,,,,,,,,,,,,,,,,,,,california,12817.41348,college,m,28651.0,67.0,0.0,personal auto,302.272725,four-door car
ad95939,,,,,,,,,,,,,,,,,,,,,california,26511.60445,bachelor,m,28773.0,229.0,0.0,personal auto,1099.2,luxury car
ae23906,,,,,,,,,,,,,,,,,,,,,arizona,9816.528302,college,m,37256.0,62.0,0.0,personal auto,128.969729,four-door car
ae30506,,,,,,,,,,,,,,,,,,,,,california,2396.219292,bachelor,f,0.0,66.0,2.0,personal auto,433.160284,four-door car
ae60813,,,,,,,,,,,,,,,,,,,,,oregon,4993.025273,college,f,75090.0,63.0,1.0,personal auto,101.34165,four-door car
ae62631,,,,,,,,,,,,,,,,,,,,,oregon,8427.723769,bachelor,m,20662.0,72.0,0.0,personal auto,373.324673,two-door car
ae74442,,,,,,,,,,,,,,,,,,,,,california,7379.456823,bachelor,f,61584.0,61.0,0.0,corporate auto,205.294927,four-door car
ae89300,,,,,,,,,,,,,,,,,,,,,arizona,8224.770259,bachelor,f,82634.0,104.0,0.0,personal auto,324.097433,suv
ae90216,,,,,,,,,,,,,,,,,,,,,california,4974.801539,bachelor,m,75644.0,65.0,3.0,personal auto,467.803638,two-door car
ae93522,,,,,,,,,,,,,,,,,,,,,washington,7212.143863,bachelor,m,75891.0,61.0,0.0,corporate auto,61.285525,two-door car
ae98193,wa,m,high school or below,785941.46%,0.0,113.0,1/0/00,personal auto,suv,813.6,,,,,,,,,,,,,,,,,,,,
af10970,arizona,f,bachelor,597314.34%,96163.0,73.0,1/0/00,corporate auto,four-door car,350.4,,,,,,,,,,,,,,,,,,,,
af17671,,,,,,,,,,,,,,,,,,,,,washington,7765.228166,bachelor,f,56337.0,97.0,0.0,personal auto,465.6,four-door car
af20716,,,,,,,,,,,,,,,,,,,,,oregon,2429.374554,bachelor,m,74241.0,61.0,0.0,personal auto,138.588291,two-door car
af36894,,,,,,,,,,,,,,,,,,,,,california,4392.982538,bachelor,m,33640.0,113.0,0.0,corporate auto,542.4,suv
af37776,,,,,,,,,,,,,,,,,,,,,california,10419.16743,bachelor,f,80192.0,129.0,0.0,personal auto,200.662297,suv
af41118,,,,,,,,,,,,,,,,,,,,,california,7255.714453,college,m,10710.0,94.0,0.0,personal auto,451.2,two-door car
af47139,,,,,,,,,,,,,,,,,,,,,oregon,8406.385414,college,f,42540.0,70.0,0.0,personal auto,43.548973,four-door car
af48816,,,,,,,,,,,,,,,,,,,,,arizona,5792.666316,bachelor,f,87382.0,72.0,0.0,personal auto,345.6,four-door car
af49027,,,,,,,,,,,,,,,,,,,,,arizona,12827.42831,college,f,0.0,117.0,0.0,personal auto,842.4,two-door car
af49625,,,,,,,,,,,,,,,,,,,,,oregon,7189.106255,bachelor,f,75838.0,90.0,0.0,corporate auto,428.907968,two-door car
af69537,,,,,,,,,,,,,,,,,,,,,arizona,7329.777554,college,m,59630.0,185.0,0.0,personal auto,888.0,suv
af81450,,,,,,,,,,,california,m,high school or below,1143173.09%,28657.0,100.0,1/0/00,588.742251,personal auto,suv,,,,,,,,,,
ag22225,,,,,,,,,,,oregon,m,high school or below,694190.08%,0.0,96.0,1/0/00,460.8,personal auto,four-door car,,,,,,,,,,
ag32304,,,,,,,,,,,,,,,,,,,,,nevada,5418.726537,college,f,39133.0,67.0,0.0,personal auto,90.524457,four-door car
ag39150,,,,,,,,,,,,,,,,,,,,,oregon,2356.074955,bachelor,m,0.0,63.0,0.0,personal auto,302.4,four-door car
ag45299,,,,,,,,,,,,,,,,,,,,,california,8595.726399,college,m,76763.0,108.0,0.0,personal auto,186.459607,suv
ag47947,,,,,,,,,,,,,,,,,,,,,washington,14024.35839,high school or below,f,81872.0,115.0,0.0,personal auto,256.43803,four-door car
ag56998,,,,,,,,,,,,,,,,,,,,,oregon,2448.646138,college,m,0.0,69.0,0.0,corporate auto,331.2,two-door car
ag58599,,,,,,,,,,,,,,,,,,,,,oregon,2805.098562,high school or below,f,26004.0,70.0,0.0,personal auto,336.0,four-door car
ag62087,,,,,,,,,,,,,,,,,,,,,california,3412.566597,bachelor,m,30335.0,87.0,0.0,corporate auto,326.132867,four-door car
ag62140,,,,,,,,,,,,,,,,,,,,,california,5386.325174,college,f,33716.0,68.0,1.0,personal auto,349.431986,four-door car
ag85127,,,,,,,,,,,,,,,,,,,,,oregon,8085.448545,bachelor,m,61409.0,68.0,0.0,special auto,264.040157,four-door car
ag85615,oregon,m,college,2414387.56%,0.0,87.0,1/0/00,special auto,four-door car,626.4,,,,,,,,,,,,,,,,,,,,
ah17051,,,,,,,,,,,,,,,,,,,,,california,14700.49784,bachelor,m,29695.0,94.0,0.0,personal auto,554.143798,four-door car
ah22694,,,,,,,,,,,,,,,,,,,,,california,5850.451386,doctor,m,24317.0,73.0,1.0,corporate auto,350.4,four-door car
ah39293,,,,,,,,,,,,,,,,,,,,,california,2616.613903,college,m,72302.0,66.0,0.0,personal auto,316.8,two-door car
ah41065,,,,,,,,,,,,,,,,,,,,,washington,18943.26899,high school or below,m,58851.0,79.0,1.0,personal auto,494.187643,four-door car
ah41449,,,,,,,,,,,,,,,,,,,,,nevada,7907.133288,college,m,24666.0,101.0,0.0,personal auto,151.835574,sports car
ah53588,,,,,,,,,,,,,,,,,,,,,california,4636.54647,college,m,26802.0,66.0,1.0,personal auto,316.8,two-door car
ah55475,,,,,,,,,,,,,,,,,,,,,arizona,33053.26869,college,m,44246.0,122.0,3.0,personal auto,585.6,suv
ah58807,,,,,,,,,,,,,,,,,,,,,arizona,51426.24815,college,f,84650.0,185.0,3.0,personal auto,660.474274,luxury car
ah65907,,,,,,,,,,,california,f,bachelor,285940.86%,51790.0,71.0,1/0/00,340.8,personal auto,four-door car,,,,,,,,,,
ah84063,oregon,f,college,471945.01%,89642.0,121.0,1/4/00,corporate auto,suv,86.320022,,,,,,,,,,,,,,,,,,,,
ah89786,,,,,,,,,,,,,,,,,,,,,oregon,2174.111987,high school or below,m,16997.0,65.0,3.0,personal auto,468.0,two-door car
ah92481,,,,,,,,,,,,,,,,,,,,,california,4673.196379,college,f,53219.0,117.0,0.0,corporate auto,561.6,suv
ah97088,,,,,,,,,,,,,,,,,,,,,nevada,7803.503824,high school or below,m,84417.0,98.0,0.0,personal auto,139.714897,two-door car
ah99727,,,,,,,,,,,az,f,bachelor,562331.45%,11612.0,71.0,1/0/00,340.8,personal auto,four-door car,,,,,,,,,,
ai11191,,,,,,,,,,,,,,,,,,,,,arizona,4228.248035,high school or below,f,77853.0,106.0,0.0,personal auto,165.237444,suv
ai14767,,,,,,,,,,,,,,,,,,,,,california,40688.53442,high school or below,f,37455.0,114.0,0.0,personal auto,547.2,suv
ai16519,,,,,,,,,,,,,,,,,,,,,nevada,4877.61238,high school or below,m,0.0,66.0,0.0,personal auto,420.39344,two-door car
ai47152,,,,,,,,,,,nevada,f,college,799277.91%,35434.0,66.0,1/0/00,297.051768,personal auto,four-door car,,,,,,,,,,
ai49188,nevada,f,bachelor,1288743.17%,48767.0,108.0,1/0/00,personal auto,two-door car,566.472247,,,,,,,,,,,,,,,,,,,,
ai49712,,,,,,,,,,,washington,f,high school or below,259389.79%,0.0,72.0,1/0/00,345.6,personal auto,four-door car,washington,2593.897887,high school or below,f,0.0,72.0,0.0,personal auto,345.6,four-door car
ai58313,,,,,,,,,,,,,,,,,,,,,nevada,36946.06393,college,f,75425.0,116.0,1.0,personal auto,663.643801,sports car
ai58500,,,,,,,,,,,,,,,,,,,,,arizona,2689.16845,college,f,26554.0,68.0,1.0,personal auto,391.687368,two-door car
ai61368,,,,,,,,,,,nevada,f,high school or below,1765196.34%,22510.0,95.0,1/0/00,456.0,personal auto,four-door car,,,,,,,,,,
ai74959,,,,,,,,,,,,,,,,,,,,,california,3933.813993,high school or below,m,25927.0,103.0,0.0,personal auto,674.973614,suv
ai85843,az,f,master,675665.14%,33288.0,86.0,1/2/00,personal auto,four-door car,221.856184,,,,,,,,,,,,,,,,,,,,
aj32539,,,,,,,,,,,,,,,,,,,,,oregon,2829.312319,bachelor,m,25860.0,72.0,0.0,personal auto,345.6,four-door car
aj58038,,,,,,,,,,,california,f,bachelor,239621.93%,0.0,66.0,1/2/00,433.160284,corporate auto,four-door car,,,,,,,,,,
aj69060,,,,,,,,,,,,,,,,,,,,,california,14260.91441,college,m,0.0,99.0,0.0,personal auto,204.121476,two-door car
aj69778,,,,,,,,,,,,,,,,,,,,,oregon,6514.430592,high school or below,f,77135.0,84.0,3.0,personal auto,98.372265,four-door car
aj89107,,,,,,,,,,,az,m,high school or below,734932.85%,27072.0,93.0,1/0/00,565.336931,personal auto,four-door car,,,,,,,,,,
aj89108,,,,,,,,,,,,,,,,,,,,,california,11009.13049,bachelor,f,51643.0,283.0,0.0,personal auto,1358.4,luxury car
ak11669,,,,,,,,,,,,,,,,,,,,,arizona,10130.93442,doctor,f,59232.0,85.0,0.0,corporate auto,408.0,two-door car
ak11719,,,,,,,,,,,,,,,,,,,,,california,2272.30731,master,m,0.0,64.0,0.0,corporate auto,286.124652,four-door car
ak17025,,,,,,,,,,,,,,,,,,,,,washington,5801.828142,bachelor,m,0.0,83.0,0.0,personal auto,597.6,four-door car
ak44985,,,,,,,,,,,,,,,,,,,,,california,3853.473448,college,f,0.0,110.0,0.0,personal auto,792.0,suv
ak46006,,,,,,,,,,,,,,,,,,,,,oregon,36293.14678,bachelor,m,18047.0,242.0,0.0,personal auto,1350.379181,luxury suv
ak54675,,,,,,,,,,,,,,,,,,,,,california,5535.963648,bachelor,f,84863.0,138.0,0.0,corporate auto,691.697458,suv
ak59340,,,,,,,,,,,,,,,,,,,,,california,5601.138061,high school or below,m,42360.0,71.0,0.0,corporate auto,99.509191,four-door car
ak61491,,,,,,,,,,,,,,,,,,,,,oregon,2491.317024,doctor,m,36631.0,62.0,0.0,personal auto,67.530904,four-door car
ak72422,,,,,,,,,,,,,,,,,,,,,california,29049.71315,college,m,21070.0,195.0,0.0,corporate auto,1404.0,sports car
ak90865,,,,,,,,,,,,,,,,,,,,,oregon,8207.858272,high school or below,f,0.0,110.0,0.0,special auto,686.90827,sports car
al21967,,,,,,,,,,,oregon,m,master,1017147.78%,74243.0,84.0,1/0/00,71.311211,corporate auto,four-door car,,,,,,,,,,
al27471,,,,,,,,,,,,,,,,,,,,,oregon,3911.118202,doctor,m,30821.0,97.0,0.0,personal auto,451.319227,four-door car
al35726,,,,,,,,,,,oregon,f,college,374675.16%,41479.0,94.0,1/1/00,19.575683,personal auto,two-door car,,,,,,,,,,
al43475,,,,,,,,,,,,,,,,,,,,,california,7373.225991,college,f,44938.0,183.0,0.0,personal auto,2069.309854,luxury car
al43715,,,,,,,,,,,,,,,,,,,,,nevada,8310.704732,master,m,67541.0,104.0,0.0,personal auto,203.886869,four-door car
al46984,cali,m,high school or below,873042.20%,43259.0,73.0,1/0/00,personal auto,four-door car,350.4,,,,,,,,,,,,,,,,,,,,
al50693,,,,,,,,,,,,,,,,,,,,,oregon,3567.503755,bachelor,m,0.0,102.0,0.0,corporate auto,660.430456,suv
al78075,,,,,,,,,,,,,,,,,,,,,oregon,3810.238281,high school or below,m,0.0,108.0,0.0,personal auto,777.6,four-door car
al95338,,,,,,,,,,,,,,,,,,,,,california,6679.139606,high school or below,f,0.0,91.0,0.0,personal auto,655.2,four-door car
al96740,cali,f,college,290393.98%,67763.0,73.0,1/1/00,personal auto,four-door car,59.861963,,,,,,,,,,,,,,,,,,,,
am17304,,,,,,,,,,,,,,,,,,,,,arizona,7218.375778,master,f,45356.0,90.0,0.0,personal auto,462.043003,four-door car
am26598,,,,,,,,,,,,,,,,,,,,,arizona,2913.493264,college,f,89672.0,72.0,0.0,personal auto,309.568636,four-door car
am26717,,,,,,,,,,,,,,,,,,,,,california,3123.080994,bachelor,m,0.0,101.0,4.0,personal auto,960.115399,suv
am28777,,,,,,,,,,,,,,,,,,,,,oregon,2707.429536,college,f,51455.0,67.0,0.0,personal auto,11.046789,four-door car
am29546,,,,,,,,,,,,,,,,,,,,,oregon,5225.03143,college,m,57733.0,66.0,0.0,personal auto,393.528054,two-door car
am30008,,,,,,,,,,,california,m,high school or below,1413112.13%,28327.0,185.0,1/0/00,888.0,personal auto,luxury car,,,,,,,,,,
am32820,,,,,,,,,,,,,,,,,,,,,california,3709.919724,bachelor,m,0.0,112.0,0.0,personal auto,1082.898726,suv
am34581,,,,,,,,,,,,,,,,,,,,,oregon,6680.146801,bachelor,f,24432.0,87.0,3.0,corporate auto,71.10847,two-door car
am36670,,,,,,,,,,,,,,,,,,,,,california,4997.780688,college,f,54827.0,64.0,0.0,personal auto,132.947215,four-door car
am52614,,,,,,,,,,,,,,,,,,,,,oregon,4477.45201,bachelor,f,41402.0,119.0,4.0,personal auto,571.2,sports car
am53473,,,,,,,,,,,,,,,,,,,,,arizona,5821.787383,bachelor,f,60087.0,74.0,0.0,special auto,355.2,four-door car
am57175,,,,,,,,,,,,,,,,,,,,,oregon,15000.84238,high school or below,f,62473.0,76.0,1.0,personal auto,507.560729,four-door car
am72411,,,,,,,,,,,,,,,,,,,,,oregon,2279.696801,high school or below,m,23253.0,61.0,0.0,personal auto,292.8,two-door car
am79057,,,,,,,,,,,,,,,,,,,,,oregon,2287.91729,bachelor,f,69024.0,61.0,5.0,personal auto,238.530745,four-door car
am88377,,,,,,,,,,,,,,,,,,,,,california,5049.765309,bachelor,f,10180.0,65.0,0.0,corporate auto,455.654032,two-door car
am89558,,,,,,,,,,,,,,,,,,,,,nevada,4636.54647,college,m,26802.0,66.0,1.0,corporate auto,316.8,two-door car
am92343,oregon,f,high school or below,1159950.22%,67616.0,96.0,1/0/00,personal auto,four-door car,340.306584,,,,,,,,,,,,,,,,,,,,
am94127,,,,,,,,,,,,,,,,,,,,,oregon,5157.642282,college,m,93303.0,65.0,0.0,corporate auto,40.757983,four-door car
am97901,nevada,f,college,2298615.39%,84831.0,192.0,1/0/00,special auto,sports car,1336.931716,,,,,,,,,,,,,,,,,,,,
am99192,,,,,,,,,,,,,,,,,,,,,arizona,9061.951591,college,m,42743.0,117.0,1.0,personal auto,101.288057,suv
an21193,,,,,,,,,,,,,,,,,,,,,washington,6933.335325,bachelor,f,0.0,70.0,1.0,personal auto,504.0,four-door car
an32867,,,,,,,,,,,,,,,,,,,,,california,3124.933827,bachelor,m,81285.0,81.0,2.0,personal auto,441.765368,four-door car
an36757,,,,,,,,,,,oregon,m,master,2205600.50%,66851.0,92.0,1/2/00,408.550442,personal auto,four-door car,,,,,,,,,,
an47199,,,,,,,,,,,nevada,f,college,885835.20%,0.0,80.0,1/0/00,81.255741,personal auto,two-door car,,,,,,,,,,
an53225,,,,,,,,,,,,,,,,,,,,,washington,24672.65531,high school or below,m,0.0,76.0,0.0,personal auto,364.8,two-door car
an57220,,,,,,,,,,,,,,,,,,,,,oregon,17263.64048,bachelor,f,96917.0,61.0,0.0,special auto,71.942176,four-door car
an67558,,,,,,,,,,,,,,,,,,,,,nevada,3288.209809,college,m,0.0,102.0,1.0,personal auto,734.4,suv
an79079,,,,,,,,,,,,,,,,,,,,,arizona,12731.95161,doctor,m,40870.0,105.0,0.0,personal auto,504.0,suv
an80983,,,,,,,,,,,,,,,,,,,,,oregon,5218.343293,college,m,85721.0,65.0,0.0,corporate auto,312.0,four-door car
an97123,,,,,,,,,,,,,,,,,,,,,nevada,22305.32351,college,f,0.0,102.0,0.0,personal auto,401.528957,two-door car
ao20938,,,,,,,,,,,,,,,,,,,,,arizona,32021.40422,high school or below,f,31433.0,100.0,0.0,personal auto,635.020091,suv
ao40386,,,,,,,,,,,,,,,,,,,,,oregon,22647.21772,college,m,27504.0,91.0,0.0,personal auto,436.8,four-door car
ao42003,,,,,,,,,,,,,,,,,,,,,oregon,16681.32634,college,f,55907.0,104.0,0.0,corporate auto,499.2,suv
ao46433,,,,,,,,,,,,,,,,,,,,,california,8078.53085,bachelor,f,0.0,114.0,1.0,personal auto,547.2,four-door car
ao74776,california,f,high school or below,942768.49%,27824.0,118.0,1/0/00,personal auto,suv,566.4,,,,,,,,,,,,,,,,,,,,
ao77635,,,,,,,,,,,,,,,,,,,,,california,4005.720666,college,f,28987.0,102.0,0.0,personal auto,245.693546,suv
ao87348,wa,male,college,205062.35%,0.0,61.0,1/0/00,personal auto,four-door car,292.8,,,,,,,,,,,,,,,,,,,,
ao98601,,,,,,,,,,,washington,,bachelor,501888.52%,54500.0,63.0,1/0/00,302.4,corporate auto,two-door car,,,,,,,,,,
ap23850,wa,f,high school or below,1777154.90%,0.0,114.0,1/0/00,personal auto,two-door car,547.2,,,,,,,,,,,,,,,,,,,,
ap27994,,,,,,,,,,,,,,,,,,,,,oregon,4372.490855,high school or below,f,23124.0,112.0,0.0,special auto,537.6,sports car
ap32891,,,,,,,,,,,,,,,,,,,,,arizona,3432.961074,high school or below,m,0.0,95.0,0.0,personal auto,456.0,four-door car
ap34711,,,,,,,,,,,,,,,,,,,,,arizona,10382.38098,master,f,32821.0,129.0,0.0,personal auto,25.89566,suv
ap46166,,,,,,,,,,,,,,,,,,,,,california,4965.491316,high school or below,f,0.0,73.0,1.0,personal auto,525.6,two-door car
ap47670,,,,,,,,,,,,,,,,,,,,,california,2497.910013,high school or below,m,29465.0,63.0,0.0,personal auto,302.4,four-door car
ap52126,,,,,,,,,,,oregon,f,college,1315183.20%,68562.0,108.0,1/0/00,228.498823,personal auto,suv,,,,,,,,,,
ap52565,,,,,,,,,,,,,,,,,,,,,arizona,6746.434272,high school or below,f,70328.0,84.0,0.0,corporate auto,293.227028,four-door car
ap56340,,,,,,,,,,,,,,,,,,,,,washington,5384.671725,bachelor,m,13103.0,72.0,0.0,personal auto,458.003651,four-door car
ap59947,,,,,,,,,,,,,,,,,,,,,california,7690.159642,bachelor,f,55843.0,64.0,0.0,corporate auto,307.2,two-door car
ap63665,,,,,,,,,,,,,,,,,,,,,oregon,7166.343469,bachelor,f,59253.0,89.0,0.0,personal auto,67.801384,four-door car
ap65984,,,,,,,,,,,,,,,,,,,,,oregon,4881.753428,college,f,0.0,135.0,0.0,personal auto,648.0,suv
ap66226,,,,,,,,,,,,,,,,,,,,,nevada,4479.494223,bachelor,m,18505.0,66.0,4.0,personal auto,316.8,four-door car
ap67935,california,,college,761951.58%,64749.0,64.0,1/0/00,special auto,four-door car,302.56519,,,,,,,,,,,,,,,,,,,,
ap89323,,,,,,,,,,,,,,,,,,,,,nevada,2728.842912,college,f,40516.0,70.0,0.0,personal auto,336.0,four-door car
ap90638,,,,,,,,,,,,,,,,,,,,,arizona,14274.55485,high school or below,m,0.0,84.0,0.0,personal auto,604.8,four-door car
ap95078,,,,,,,,,,,,,,,,,,,,,oregon,7855.324623,bachelor,m,37229.0,67.0,0.0,personal auto,321.6,four-door car
ap98768,california,f,college,1044244.63%,0.0,98.0,1/0/00,personal auto,four-door car,941.718054,,,,,,,,,,,,,,,,,,,,
aq11656,,,,,,,,,,,,,,,,,,,,,arizona,2141.750757,bachelor,m,0.0,61.0,0.0,personal auto,437.040616,four-door car
aq25590,,,,,,,,,,,,,,,,,,,,,washington,5445.373289,high school or below,f,20282.0,79.0,3.0,personal auto,507.549315,two-door car
aq30231,,,,,,,,,,,,,,,,,,,,,california,5800.772699,bachelor,f,0.0,78.0,0.0,personal auto,374.4,four-door car
aq34238,,,,,,,,,,,,,,,,,,,,,oregon,4606.26977,bachelor,m,0.0,72.0,2.0,corporate auto,518.4,four-door car
aq46199,,,,,,,,,,,oregon,m,high school or below,482525.86%,0.0,71.0,1/0/00,511.2,personal auto,two-door car,,,,,,,,,,
aq51159,,,,,,,,,,,,,,,,,,,,,arizona,8586.801328,high school or below,f,38676.0,72.0,0.0,personal auto,146.124719,four-door car
aq51368,oregon,f,bachelor,1065688.20%,72540.0,88.0,1/0/00,corporate auto,two-door car,631.743039,,,,,,,,,,,,,,,,,,,,
aq52711,,,,,,,,,,,,,,,,,,,,,oregon,6897.505859,bachelor,f,65337.0,173.0,1.0,personal auto,830.4,suv
aq70385,,,,,,,,,,,,,,,,,,,,,oregon,5686.961001,high school or below,m,30242.0,72.0,0.0,personal auto,48.288036,four-door car
aq70619,,,,,,,,,,,,,,,,,,,,,california,13046.65319,high school or below,m,71024.0,65.0,1.0,corporate auto,266.640638,four-door car
aq91207,,,,,,,,,,,,,,,,,,,,,california,2487.649473,high school or below,m,38667.0,63.0,0.0,personal auto,293.070538,four-door car
aq94108,,,,,,,,,,,,,,,,,,,,,oregon,8507.832473,college,f,56704.0,71.0,0.0,corporate auto,84.715044,four-door car
ar17553,,,,,,,,,,,,,,,,,,,,,california,6111.053244,master,m,22944.0,80.0,0.0,corporate auto,488.272759,four-door car
ar25213,,,,,,,,,,,,,,,,,,,,,arizona,7282.967586,high school or below,m,40858.0,184.0,0.0,personal auto,883.2,luxury suv
ar40217,,,,,,,,,,,,,,,,,,,,,oregon,19079.09518,high school or below,f,42754.0,65.0,4.0,personal auto,279.715067,two-door car
ar47849,,,,,,,,,,,,,,,,,,,,,nevada,5015.009472,bachelor,f,48567.0,130.0,0.0,personal auto,624.0,suv
